name,key,taxonomic_rank,order,family,genus
Lentinus_brumalis,7838425,SPECIES,Polyporales,Polyporaceae,Lentinus
Candolleomyces_candolleanus,12008655,SPECIES,Agaricales,Psathyrellaceae,Candolleomyces
Amanita_brunnescens,5240302,SPECIES,Agaricales,Amanitaceae,Amanita
Lactarius_deterrimus,7925734,SPECIES,Russulales,Russulaceae,Lactarius
Mycena_galericulata,2526880,SPECIES,Agaricales,Mycenaceae,Mycena
Coprinopsis_atramentaria,5242740,SPECIES,Agaricales,Psathyrellaceae,Coprinopsis
Pluteus_cervinus,7446067,SPECIES,Agaricales,Pluteaceae,Pluteus
Neofavolus_alveolaris,7865386,SPECIES,Polyporales,Polyporaceae,Neofavolus
Amanita_frostiana,8205204,SPECIES,Agaricales,Amanitaceae,Amanita
Cortinarius_caperatus,2529415,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Coprinellus_disseminatus,2534625,SPECIES,Agaricales,Psathyrellaceae,Coprinellus
Entoloma_murrayi,3346266,SPECIES,Agaricales,Entolomataceae,Entoloma
Coprinopsis_variegata,5448870,SPECIES,Agaricales,Psathyrellaceae,Coprinopsis
Gyroporus_cyanescens,2524265,SPECIES,Boletales,Gyroporaceae,Gyroporus
Pleurotus_ostreatus,2526530,SPECIES,Agaricales,Pleurotaceae,Pleurotus
Cyathus_striatus,8269749,SPECIES,Palaeocopida,Aparchitidae,Cyathus
Paxillus_involutus,5240002,SPECIES,Boletales,Paxillaceae,Paxillus
Gymnopus_dryophilus,5243756,SPECIES,Agaricales,Omphalotaceae,Gymnopus
Cantharellus_cibarius,5249504,SPECIES,Cantharellales,Hydnaceae,Cantharellus
Cantharellula_umbonata,2532395,SPECIES,Agaricales,Hygrophoraceae,Cantharellula
Suillus_grevillei,5239864,SPECIES,Boletales,Suillaceae,Suillus
Phlebia_radiata,2545089,SPECIES,Polyporales,Meruliaceae,Phlebia
Leccinum_aurantiacum,2524513,SPECIES,Boletales,Boletaceae,Leccinum
Pleurotus_populinus,2526667,SPECIES,Agaricales,Pleurotaceae,Pleurotus
Crucibulum_laeve,5243575,SPECIES,Agaricales,Nidulariaceae,Crucibulum
Cortinarius_armillatus,8802917,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Marasmius_rotula,8908488,SPECIES,Agaricales,Marasmiaceae,Marasmius
Lactarius_salmonicolor,5248788,SPECIES,Russulales,Russulaceae,Lactarius
Leucocoprinus_birnbaumii,2535598,SPECIES,Agaricales,Agaricaceae,Leucocoprinus
Hypholoma_lateritium,2533424,SPECIES,Agaricales,Strophariaceae,Hypholoma
Lactarius_lignyotus,7240050,SPECIES,Russulales,Russulaceae,Lactarius
Poronidulus_conchifer,2547299,SPECIES,Polyporales,Polyporaceae,Poronidulus
Phellinus_tremulae,2520773,SPECIES,Hymenochaetales,Hymenochaetaceae,Phellinus
