gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4063112529,2022-09-29,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/141537950,21L,"-206692,86+327895,50",C,1A,30.0,3,M,,,,,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'ES': 0.1, 'HG': 0.1, 'EP': 0.2, 'SB': 0.2}",6,1.6957425341696346
4062863530,2022-09-29,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/141537905,21L,"-206561,11+327874,70",C,1A,30.0,1,F,,,,,F,75.0,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'SB': 0.1}",4,1.2206072645530173
4062677520,2022-10-28,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/141072767,21L,"-207877,96+328379,51",C,1A,30.0,1,F,,,CP,,F,75.0,VIN,"{'ES': 0.6, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1}",4,1.0888999753452235
4062541503,2022-09-24T14:34:59,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/136371750,21L,"-209984,00+328364,11",C,1A,30.0,2,M,,,,,MF,85.0,VIN,"{'EO': 0.4, 'BJ': 0.2, 'SB': 0.2, 'EB': 0.1, 'EP': 0.1}",5,1.4708084763221112
3994301919,2022-09-06,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/144007731,21L,"-216472,58+314598,42",A,5A,40.0,2,F,,,,,F,75.0,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",5,1.3592367006650063
3985724393,2020-09-05T18:26:06,2020.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/58865428,21L,"-170437,45+237946,79",B,1A,30.0,2,M,,,,,MR,75.0,JIN,"{'EB': 0.4, 'PB': 0.1, 'SB': 0.1, 'BP': 0.2, 'PE': 0.2}",5,1.4708084763221114
3773028363,2020-08-31T21:36:52Z,2020.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/58187569,21L,"-202133,95+326496,55",A,5S,20.0,1,M,,,,,MF,85.0,VIN,"{'EO': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.2, 'PI': 0.1, 'PU': 0.1}",7,1.8866967846580784
3384011170,2021-09-16T09:53:01,2021.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/95031420,21L,"-220540,91+305598,33",D,5S,30.0,2,F,,,CP,,F,75.0,JIN,"{'ES': 0.3, 'CR': 0.2, 'EO': 0.1, 'FI': 0.1, 'FR': 0.1, 'HG': 0.1, 'PB': 0.1}",7,1.8343719702816235
3013923528,2020-09-16T14:58:46,2020.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/59804036,21L,"-221536,63+309636,85",A,5S,40.0,3,M,,,,,MF,75.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'FO': 0.2, 'PU': 0.1, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
2576264088,2019-09-20T10:29:17,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/33095253,21L,"-201295,71+325557,32",B,5S,20.0,1,F,,,,,F,75.0,VIN,"{'ES': 0.6, 'FT': 0.2, 'EO': 0.1, 'PE': 0.1}",4,1.0888999753452235
