gbifID,eventDate,year,stateProvince,species,genus,family,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4129972399,2022-07-27T18:03:43,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/128225654,21E,"-169989,81+195919,22",B,1AM,30.0,2,F,,,,,F,95.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'PE': 0.2, 'BP': 0.1, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
4129922427,2022-07-25T17:51:46,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/127917754,21E,"-171018,95+200980,58",C,1A,30.0,3,R,,,,,R,85.0,50,"{'EB': 0.7, 'SB': 0.2, 'FI': 0.1}",3,0.8018185525433372
4028710844,2022-08-22T08:13:30,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/131875817,21E,"-176987,12+191422,31",B,3AN,40.0,5,F,FR,,,,F,25.0,JIN,"{'FX': 0.5, 'FN': 0.3, 'RX': 0.2}",3,1.0296530140645737
3985652724,2022-08-16T09:56:56,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/131121122,21E,"-204840,57+219552,09",C,1A,30.0,2,R,,,,,R,85.0,VIN,"{'EN': 0.3, 'ML': 0.2, 'EU': 0.1, 'SB': 0.1, 'TO': 0.1, 'BP': 0.1, 'EO': 0.1}",7,1.8343719702816235
3912310614,2022-09-15T12:27:22,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/135208549,21E,"-163878,75+184451,11",C,1A,30.0,2,F,,,CJ,2006.0,F,65.0,JIN,"{'ES': 0.5, 'BJ': 0.2, 'EO': 0.1, 'FX': 0.1, 'RX': 0.1}",5,1.3592367006650063
3772614371,2020-07-25T19:17:20,2020,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/54333725,21E,"-240605,73+131450,47",C,1AY,30.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.6, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1}",4,1.0888999753452235
3466227452,2019-08-27T16:25,2019,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/53955569,21E,"-210937,75+202930,07",B,1A,40.0,2,M,,,,,MR,85.0,JIN,"{'SB': 0.3, 'EN': 0.1, 'EU': 0.1, 'RX': 0.1, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1}",7,1.8343719702816235
2862666324,2020-09-04T16:14,2020,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/59010365,21E,"-270858,91+151992,09",C,1AY,30.0,3,R,P,,,,R,85.0,30,{'RZ': 1.0},1,-0.0
2350343316,2019-08-02T13:37,2019,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/30496949,21E,"-245357,06+121251,53",D,1AY,30.0,3,F,,,,,F,95.0,JIN,"{'EO': 0.4, 'BP': 0.2, 'ES': 0.1, 'PE': 0.1, 'SB': 0.2}",5,1.4708084763221112
1848815793,2017-08-02T09:46:30,2017,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,http://inaturalist.ca/observations/7348581,21E,"-197685,04+193873,56",B,1A,40.0,3,M,,,,,MF,75.0,JIN,"{'EO': 0.5, 'BP': 0.1, 'PE': 0.1, 'SB': 0.2, 'TO': 0.1}",5,1.3592367006650063
