gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4120839374,2022-09-11,2022,Québec,Mycena leaiana,https://www.inaturalist.org/observations/142908105,21L,"-207843,56+327709,37",B,1A,30.0,2,F,,,DP,,F,85.0,VIN,"{'HG': 0.5, 'ES': 0.3, 'BJ': 0.1, 'EO': 0.1}",4,1.1682824501765625
4018221376,2020-09-05T10:15,2020,Québec,Mycena leaiana,https://www.inaturalist.org/observations/58837567,21L,"-215120,01+310974,47",A,5S,30.0,3,F,,,,,F,95.0,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",5,1.4184836619456564
4009728617,2022-08-29,2022,Québec,Mycena leaiana,https://www.inaturalist.org/observations/144737038,21L,"-208237,89+329524,77",C,1AY,20.0,3,M,,,,,MF,85.0,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SB': 0.2, 'EP': 0.1}",6,1.6957425341696346
3466045065,2021-09-14,2021,Québec,Mycena leaiana,https://www.inaturalist.org/observations/105309454,21L,"-220487,32+333426,12",D,1AY,20.0,2,M,,,,,MF,85.0,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",5,1.4708084763221112
3113668650,2021-05-07,2021,Québec,Mycena leaiana,https://www.inaturalist.org/observations/78446503,21L,"-216094,99+315056,15",A,5A,50.0,3,R,,,,,R,75.0,70,"{'ML': 0.6, 'EN': 0.2, 'RX': 0.1, 'BP': 0.1}",4,1.0888999753452235
2862546350,2019-08-31T14:33,2019,Québec,Mycena leaiana,https://www.inaturalist.org/observations/32086438,21L,"-215323,09+311163,77",A,5S,20.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
2862522506,2020-08-22,2020,Québec,Mycena leaiana,https://www.inaturalist.org/observations/57327489,21L,"-215323,09+311163,77",A,5S,20.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
2802916502,2019-09-01T15:13,2019,Québec,Mycena leaiana,https://www.inaturalist.org/observations/32141837,21L,"-225368,72+319625,97",B,5S,30.0,2,M,,,,,MR,75.0,JIN,"{'SB': 0.4, 'EU': 0.2, 'EO': 0.2, 'BG': 0.1, 'BP': 0.1}",5,1.4708084763221112
2802618470,2019-08-30T14:56,2019,Québec,Mycena leaiana,https://www.inaturalist.org/observations/32085303,21L,"-221114,41+309456,07",B,2A,20.0,2,M,,,,,MF,85.0,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135071247,2007-08-22,2007,Québec,Mycena leaiana,CMMF009815,21L,"-210425,07+326724,84",C,1A,30.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
1135071200,2007-08-19,2007,Québec,Mycena leaiana,CMMF009796,21L,"-210425,07+326724,84",C,1A,30.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
1135070918,2007-06-26,2007,Québec,Mycena leaiana,CMMF009444,21L,"-211501,42+332165,97",C,1A,30.0,2,F,,,,,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070067,2006-06-18,2006,Québec,Mycena leaiana,CMMF008648,21L,"-209790,60+326657,30",B,1A,30.0,3,M,,,EPC,2007.0,MM,85.0,30,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FI': 0.1, 'FT': 0.1}",5,1.4184836619456564
4892227547,2024-06-06T17:38,2024,Québec,Mycena leaiana,https://www.inaturalist.org/observations/221028546,21M,"-184164,71+343989,77",D,1A,30.0,1,F,,,DP,,F,55.0,VIN,"{'HG': 0.4, 'ES': 0.3, 'EO': 0.2, 'FI': 0.1}",4,1.2798542258336674
