Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
212,Lycoperdon perlatum Pers.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon perlatum
210,Lyophyllum decastes (Fr.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum decastes
206,Turbinellus floccosus (Schwein.) Earle ex Giachini & Castellano,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Turbinellus,Turbinellus floccosus
190,Climacodon septentrionalis (Fr.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Climacodon,Climacodon septentrionalis
183,Hericium coralloides (Scop.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium coralloides
182,Scleroderma citrinum Pers.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma citrinum
178,Clavulinopsis fusiformis (Sowerby) Corner,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Clavulinopsis fusiformis
175,Trametes gibbosa (Pers.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes gibbosa
162,Hericium americanum Ginns,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium americanum
162,Suillus spraguei (Berk. & M.A.Curtis) Kuntze,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus spraguei
158,Clavaria zollingeri Lév.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria zollingeri
154,Amanita flavoconia G.F.Atk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita flavoconia
152,Phaeolus schweinitzii (Fr.) Pat.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Phaeolus,Phaeolus schweinitzii
151,Sarcomyxa serotina (Pers.) V.Papp,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Sarcomyxaceae,Sarcomyxa,Sarcomyxa serotina
145,Suillus americanus (Peck) Snell,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus americanus
145,Amanita jacksonii Pomerl.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita jacksonii
130,Entoloma quadratum (Berk. & M.A.Curtis) E.Horak,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma quadratum
123,Phyllotopsis nidulans (Pers.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Phyllotopsidaceae,Phyllotopsis,Phyllotopsis nidulans
120,Clavaria fragilis Holmsk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria fragilis
116,Ganoderma applanatum (Pers.) Pat.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma applanatum
116,Cerrena unicolor (Bull.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,Cerrena unicolor
107,Peniophora rufa (Fr.) Boidin,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora rufa
103,Boletinellus merulioides (Schwein.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletinellaceae,Boletinellus,Boletinellus merulioides
103,Gloeophyllum sepiarium (Wulfen) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum,Gloeophyllum sepiarium
102,Hemileccinum subglabripes (Peck) Halling,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hemileccinum,Hemileccinum subglabripes
101,Trichaptum biforme (Fr.) Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,Trichaptum,Trichaptum biforme
100,Schizophyllum commune Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune
98,"Cantharellus enelensis Voitk, Thorn, Lebeuf & J.I.Kim",Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Cantharellus,Cantharellus enelensis
96,Entoloma abortivum (Berk. & M.A.Curtis) Donk,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma abortivum
93,Plicaturopsis crispa (Pers.) D.A.Reid,Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Plicaturopsis,Plicaturopsis crispa
93,Hygrocybe conica (Schaeff.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe conica
93,Panellus stipticus (Bull.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Panellus,Panellus stipticus
92,Calvatia gigantea (Batsch) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia gigantea
92,Hygrocybe cantharellus (Schwein.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe cantharellus
91,Pseudohydnum gelatinosum (Scop.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Pseudohydnum,Pseudohydnum gelatinosum
90,Trametes cinnabarina (Jacq.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes cinnabarina
89,Craterellus tubaeformis (Fr.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Craterellus,Craterellus tubaeformis
88,Humidicutis marginata (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Humidicutis,Humidicutis marginata
88,Irpex lacteus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,Irpex lacteus
88,Craterellus cornucopioides (L.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Craterellus,Craterellus cornucopioides
87,Amanita fulva Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fulva
